pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Tunisian,Yemenite-Northwest,1.616,8,26,0.157
Ukranian-West,Croat,9.354,8,14,0.498
Assyrian-Caucasus,Moldavian,1.752,7,11,0.307
Jew-Iranian,Jew-Uzbek,12.709,9,12,0.884
Syrian,German,1.31,8,13,0.159
Ukranian-East,Lebanese-Christian,1.451,8,9,0.245
Jew-Tunisian,Belarusian,1.215,7,14,0.192
Jew-Moroccan,Karachay,1.685,6,11,0.263
Jew-French,Maltese,2.179,7,8,0.417
Jew-Yemenite,Ukranian-East,0.995,7,8,0.194
Uzbek-West,Lithuanian,3.041,8,13,0.294
Spanish-South,Latvian,3.542,8,9,0.32
Jew-Libyan,Kumyk,1.165,8,11,0.21
Russian-Southwest,Spanish-Valencia,3.678,8,11,0.35
general-AJ,French-Northwest,3.028,7,10,0.399
Jew-Yemenite,Spanish-Central,0.967,7,21,0.159
Cypriot,Nogai,1.033,7,25,0.136
Ukranian-East,Yemenite-Desert,0.923,8,27,0.117
Spanish-South,Druze,1.532,8,30,0.134
Turkmen,Pashtun,0.982,8,17,0.16
Iranian-South,Maltese,1.193,8,8,0.21
Turk-West,Jew-Uzbek,1.497,8,12,0.21
Maltese,French-Northeast,2.898,8,10,0.359
Hemshin,French-Northwest,1.361,8,10,0.239
Jew-Georgian,Estonian,1.158,7,16,0.202
Lak,Spanish-Valencia,2.007,9,11,0.251
Tunisian,Darginian,0.483,8,8,0.14
Cypriot,Jew-Libyan,1.596,7,8,0.298
Latvia-AJ,Ingush,2.067,7,9,0.271
Latvia-AJ,Palestinian,1.318,7,33,0.117
Darginian,Uzbek-East,1.336,8,21,0.136
Jew-Kurdish,Slovakian,1.517,8,15,0.218
Jew-French,Iranian-Central,1.399,7,22,0.15
Jew-Ethiopian,Somali,2.159,7,13,0.3
Iranian-South,Iranian-Central,2.892,8,22,0.587
Jew-Turkish,Gujarati,0.785,8,17,0.116
Tunisian,Jew-Bulgarian,1.636,8,26,0.165
Ukranian-West,Sicilian-West,2.979,8,14,0.287
Syrian,Somali,0.227,8,13,0.082
Assyrian-Caucasus,Jew-Azeri,1.412,7,11,0.26
Jew-Iranian,Greek-North,1.851,9,13,0.207
Ukranian-East,Bulgarian,8.309,8,9,0.523
Jew-Tunisian,Basque-France,1.483,7,14,0.199
Jew-French,Tunisian,1.809,7,8,0.31
Uzbek-West,Balkar,1.218,8,13,0.202
Jew-Yemenite,Turkmen,0.761,7,8,0.22
Spanish-South,Gagauz,2.208,8,9,0.311
Jew-Moroccan,Jordanian,1.447,6,11,0.229
Russian-Southwest,Moldavian,8.009,8,11,0.598
general-AJ,Czech,4.256,7,10,0.415
Jew-Yemenite,Hungarian,0.742,7,21,0.11
Jew-Libyan,Orcadian,1.347,8,11,0.19
Ukranian-East,Lithuania-AJ,4.103,8,27,0.24
Cypriot,Kyrgyz-North,0.587,7,25,0.099
Spanish-South,Adygei,1.204,8,31,0.117
Turkmen,Chuvash,2.541,8,18,0.226
Iranian-South,Tunisian,0.545,8,8,0.156
Turk-West,Greek-North,2.202,8,13,0.278
Hemshin,Czech,2.582,8,10,0.362
Cypriot,Spanish-South,1.263,7,8,0.228
Maltese,French-Northwest,2.254,8,10,0.259
Jew-Georgian,Russian-Arctic,1.352,7,17,0.177
Lak,Moldavian,2.347,9,11,0.273
Latvia-AJ,Chechen,1.605,7,9,0.269
Tunisian,Jew-Kurdish,0.853,8,8,0.172
Darginian,Tatar-Siberia,1.718,8,21,0.168
Latvia-AJ,Mordvin,2.664,7,34,0.18
Jew-Kurdish,Corsican,1.764,8,16,0.202
Jew-Ethiopian,Czechia-AJ,0.504,7,13,0.126
Jew-Turkish,Pashtun,1.02,8,17,0.158
Iranian-South,Romania-AJ,1.733,8,23,0.157
Tunisian,Hungary-AJ,1.454,8,26,0.146
Ukranian-West,Udmurt,5.65,8,14,0.329
Syrian,Czechia-AJ,1.564,8,13,0.189
Assyrian-Caucasus,Karachay,1.159,7,11,0.2
Jew-Tunisian,Croat,1.206,7,14,0.185
Ukranian-East,Albanian,5.176,8,9,0.567
Jew-Iranian,German,1.301,9,13,0.197
Jew-French,Jew-Turkish,18.565,7,8,1.215
Uzbek-West,Kabardian,2.111,8,13,0.22
Jew-Yemenite,Turk-West,0.746,7,8,0.169
Spanish-South,Bengali,0.72,8,9,0.187
Jew-French,Romania-AJ,103.045,7,23,1.788
Russian-Southwest,Jew-Azeri,1.497,8,11,0.236
Jew-Yemenite,Mozabite,0.828,7,21,0.113
Jew-Moroccan,Finn,2.757,6,11,0.355
general-AJ,Assyrian-MiddleEast,1.821,7,11,0.268
Cypriot,Yemenite-Northwest,1.241,7,26,0.143
Ukranian-East,Roman-Iberia,2.987,8,28,0.214
Jew-Libyan,Uyghur-North,0.991,8,11,0.172
Spanish-South,Tajik,1.42,8,32,0.119
Turkmen,Ossetian,1.4,8,18,0.17
Turk-West,German,2.414,8,13,0.255
Iranian-South,Jew-Turkish,1.825,8,8,0.272
Cypriot,Darginian,1.515,7,8,0.303
Jew-Georgian,Karelian,1.242,7,17,0.163
Maltese,Czech,2.342,8,10,0.268
Hemshin,Assyrian-MiddleEast,1.73,8,11,0.252
Lak,Jew-Azeri,0.962,9,11,0.157
Latvia-AJ,Kurd,0.759,7,10,0.178
Tunisian,Jew-Iranian,0.953,8,9,0.209
Jew-Kurdish,Greek-South,1.57,8,16,0.179
Darginian,Spanish-Central,1.6,8,21,0.16
Jew-Ethiopian,Lezgin,0.059,7,13,0.042
Jew-Turkish,Chuvash,1.425,8,18,0.162
Ukranian-West,Belarus-AJ,6.46,8,14,0.598
Iranian-South,BedouinA,1.063,8,23,0.141
Tunisian,Georgian,0.46,8,26,0.1
Syrian,Lezgin,1.08,8,13,0.18
Jew-Tunisian,Sicilian-West,1.879,7,14,0.234
Ukranian-East,Turk-Northeast,1.97,8,9,0.253
Jew-Iranian,Somali,0.359,9,13,0.094
Assyrian-Caucasus,Jordanian,1.444,7,11,0.299
Uzbek-West,Belarusian,3.058,8,14,0.308
Jew-French,Syrian,1.376,7,8,0.252
Spanish-South,French-North,3.611,8,9,0.366
Jew-Yemenite,Maltese,1.17,7,8,0.267
Jew-French,BedouinA,1.297,7,23,0.163
Latvia-AJ,Ukraine-AJ,73.894,7,38,2.274
Russian-Southwest,Karachay,3.145,8,11,0.287
Jew-Yemenite,Iranian-Central,1.076,7,22,0.126
Cypriot,Jew-Bulgarian,2.24,7,26,0.19
general-AJ,Lebanese-Muslim,1.648,7,11,0.276
Ukranian-East,Yemenite-Highlands,0.929,8,29,0.107
Jew-Moroccan,Jew-Italian,6.259,6,11,0.683
Jew-Libyan,Spanish-Valencia,1.758,8,11,0.265
Spanish-South,Palestinian,1.188,8,33,0.109
Turk-West,Somali,0.166,8,13,0.08
Turkmen,Turk-Northwest,1.337,8,18,0.179
Cypriot,Jew-Kurdish,1.32,7,8,0.318
Iranian-South,Syrian,1.071,8,8,0.225
Jew-Georgian,Gujarati,0.935,7,17,0.15
Hemshin,Lebanese-Muslim,1.322,8,11,0.199
Maltese,Assyrian-MiddleEast,1.072,8,11,0.177
Latvia-AJ,Avar,1.745,7,10,0.289
Lak,Karachay,3.649,9,11,0.351
Tunisian,Lak,0.505,8,9,0.148
Jew-Ethiopian,Kazakh-East,0.118,7,13,0.058
Jew-Kurdish,Estonian,1.596,8,16,0.181
Darginian,Hungarian,2.822,8,21,0.213
Jew-Turkish,Ossetian,1.539,8,18,0.172
Ukranian-West,Sindhi,1.545,8,14,0.229
Syrian,Kazakh-East,0.396,8,13,0.111
Tunisian,Germany-AJ,1.502,8,26,0.15
Iranian-South,Nogai,1.024,8,25,0.124
Jew-Tunisian,Udmurt,0.958,7,14,0.211
Uzbek-West,Basque-France,1.01,8,14,0.151
Jew-Iranian,Czechia-AJ,2.641,9,13,0.304
Ukranian-East,Russian-Northwest,16.056,8,9,0.875
Assyrian-Caucasus,Finn,1.576,7,11,0.218
Spanish-South,Ingush,1.584,8,9,0.275
Jew-Yemenite,Tunisian,0.822,7,8,0.206
Jew-French,Jew-Libyan,7.062,7,8,0.732
Jew-French,Nogai,1.116,7,25,0.132
Jew-Yemenite,Romania-AJ,1.29,7,23,0.143
Russian-Southwest,Jordanian,1.529,8,11,0.223
Cypriot,Hungary-AJ,2.218,7,26,0.195
Ukranian-East,Spanish-Balearic,4.655,8,29,0.236
Jew-Libyan,Moldavian,1.786,8,11,0.245
general-AJ,Hazara,1.418,7,11,0.221
Spanish-South,Mordvin,3.018,8,34,0.182
Jew-Moroccan,Italian-Northwest,2.353,6,11,0.385
Turk-West,Czechia-AJ,1.853,8,13,0.216
Cypriot,Jew-Iranian,1.956,7,9,0.291
Turkmen,Egyptian,0.614,8,18,0.107
Iranian-South,Jew-Libyan,0.973,8,8,0.193
Jew-Georgian,Pashtun,0.746,7,17,0.14
Hemshin,Hazara,1.303,8,11,0.227
Latvia-AJ,Turk-South,0.971,7,10,0.219
Tunisian,Punjabi,0.201,8,9,0.09
Maltese,Lebanese-Muslim,0.846,8,11,0.164
Jew-Ethiopian,Kazakh-West,0.143,7,13,0.063
Latvia-AJ,Russia-AJ,64.886,7,39,2.602
Jew-Kurdish,Russian-Arctic,1.563,8,17,0.199
Lak,Jordanian,1.298,9,11,0.193
Darginian,Mozabite,0.581,8,21,0.094
Jew-Turkish,Turk-Northwest,1.607,8,18,0.185
Tunisian,Tatar-Volga,0.797,8,26,0.104
Ukranian-West,Italian-South,3.029,8,15,0.338
Syrian,Kazakh-West,0.595,8,13,0.128
Jew-Tunisian,Belarus-AJ,4.518,7,14,0.437
Iranian-South,Kyrgyz-North,0.929,8,25,0.111
Ukranian-East,Latvian,17.597,8,9,0.921
Uzbek-West,Croat,2.114,8,14,0.195
Jew-Iranian,Lezgin,1.374,9,13,0.161
Spanish-South,Chechen,1.746,8,9,0.267
Jew-French,Spanish-South,3.761,7,8,0.47
Jew-Yemenite,Jew-Turkish,1.331,7,8,0.306
Assyrian-Caucasus,Jew-Italian,1.809,7,11,0.289
Cypriot,Georgian,1.459,7,26,0.156
Jew-French,Kyrgyz-North,0.839,7,25,0.131
Jew-Yemenite,BedouinA,1.821,7,23,0.186
Russian-Southwest,Finn,9.643,8,11,0.55
Ukranian-East,Druze,1.305,8,30,0.129
Jew-Libyan,Jew-Azeri,1.588,8,11,0.199
general-AJ,Kumyk,2.032,7,11,0.271
Turk-West,Lezgin,1.258,8,13,0.192
Spanish-South,Ukraine-AJ,3.244,8,38,0.213
Jew-Moroccan,Ukranian-Central,2.203,6,12,0.302
Cypriot,Lak,1.326,7,9,0.265
Turkmen,Komi,2.385,8,18,0.207
Iranian-South,Spanish-South,1.254,8,8,0.214
Jew-Georgian,Chuvash,1.281,7,18,0.178
Hemshin,Kumyk,2.226,8,11,0.241
Latvia-AJ,Karakalpak,0.972,7,10,0.181
Jew-Ethiopian,Lithuanian,0.488,7,13,0.136
Tunisian,Lebanese-Christian,0.733,8,9,0.16
Jew-Kurdish,Karelian,1.206,8,17,0.165
Latvia-AJ,Bashkir,1.467,7,56,0.1
Maltese,Hazara,0.84,8,11,0.174
Lak,Finn,2.794,9,11,0.301
Jew-Turkish,Egyptian,1.277,8,18,0.15
Darginian,Iranian-Central,1.136,8,22,0.126
Syrian,Lithuanian,1.255,8,13,0.188
Tunisian,Yemenite-Desert,1.381,8,27,0.144
Jew-Tunisian,Sindhi,0.71,7,14,0.156
Ukranian-West,Tuscan,3.482,8,15,0.256
Iranian-South,Yemenite-Northwest,1.292,8,26,0.126
Uzbek-West,Sicilian-West,1.092,8,14,0.161
Ukranian-East,Gagauz,8.565,8,9,0.625
Jew-Iranian,Kazakh-East,0.636,9,13,0.126
Jew-French,Darginian,2.281,7,8,0.441
Spanish-South,Kurd,1.489,8,10,0.275
Jew-Yemenite,Syrian,1.557,7,8,0.288
Assyrian-Caucasus,Italian-Northwest,1.47,7,11,0.233
Cypriot,Germany-AJ,2.3,7,26,0.184
Jew-French,Yemenite-Northwest,1.572,7,26,0.169
Russian-Southwest,Jew-Italian,3.019,8,11,0.345
Ukranian-East,Adygei,3.569,8,31,0.209
Jew-Yemenite,Nogai,0.687,7,25,0.109
Jew-Libyan,Karachay,0.944,8,11,0.174
general-AJ,Orcadian,2.723,7,11,0.299
Turk-West,Kazakh-East,1.682,8,13,0.244
Cypriot,Punjabi,0.449,7,9,0.128
Jew-Georgian,Ossetian,1.307,7,18,0.196
Spanish-South,Russia-AJ,3.158,8,39,0.194
Iranian-South,Darginian,1.023,8,8,0.229
Jew-Moroccan,Tabasaran,1.649,6,12,0.257
Turkmen,Azeri,1.364,8,18,0.18
Jew-Ethiopian,Balkar,0.17,7,13,0.078
Hemshin,Orcadian,1.346,8,11,0.198
Latvia-AJ,Turk-Central,1.55,7,10,0.244
Tunisian,Bulgarian,1.074,8,9,0.226
Jew-Kurdish,Gujarati,0.625,8,17,0.118
Maltese,Kumyk,2.061,8,11,0.273
Latvia-AJ,Spanish-Catalonia,2.094,7,57,0.121
Syrian,Balkar,1.2,8,13,0.173
Lak,Jew-Italian,1.677,9,11,0.216
Jew-Turkish,Komi,2.149,8,18,0.216
Darginian,Romania-AJ,1.585,8,23,0.147
Tunisian,Lithuania-AJ,1.247,8,27,0.122
Jew-Tunisian,Italian-South,0.968,7,15,0.145
Iranian-South,Jew-Bulgarian,1.366,8,26,0.14
Ukranian-East,Bengali,0.684,8,9,0.168
Ukranian-West,Slovenian,9.583,8,15,0.525
Uzbek-West,Udmurt,3.058,8,14,0.255
Spanish-South,Avar,1.379,8,10,0.221
Jew-French,Jew-Kurdish,1.691,7,8,0.355
Jew-Iranian,Kazakh-West,0.45,9,13,0.096
Jew-Yemenite,Jew-Libyan,1.227,7,8,0.274
Assyrian-Caucasus,Ukranian-Central,1.399,7,12,0.223
Cypriot,Tatar-Volga,1.974,7,26,0.173
Ukranian-East,Tajik,2.331,8,32,0.165
Russian-Southwest,Italian-Northwest,3.086,8,11,0.331
Jew-Libyan,Jordanian,1.378,8,11,0.205
Turk-West,Kazakh-West,1.894,8,13,0.238
general-AJ,Uyghur-North,1.284,7,11,0.233
Jew-Yemenite,Kyrgyz-North,0.421,7,25,0.084
Jew-French,Jew-Bulgarian,41.148,7,26,1.441
Cypriot,Lebanese-Christian,4.003,7,9,0.929
Jew-Georgian,Turk-Northwest,1.12,7,18,0.136
Spanish-South,Bashkir,2.186,8,56,0.115
Iranian-South,Jew-Kurdish,1.481,8,8,0.262
Turkmen,Armenian,0.927,8,18,0.149
Jew-Ethiopian,Kabardian,0.136,7,13,0.061
Latvia-AJ,Moroccan,1.11,7,10,0.225
Jew-Moroccan,Veps,3.028,6,12,0.345
Hemshin,Uyghur-North,0.759,8,11,0.155
Jew-Kurdish,Pashtun,0.918,8,17,0.14
Tunisian,Albanian,1.015,8,9,0.219
Maltese,Orcadian,2.507,8,11,0.269
Syrian,Kabardian,1.284,8,13,0.193
Lak,Italian-Northwest,1.705,9,11,0.219
Jew-Turkish,Azeri,1.194,8,18,0.178
Jew-Tunisian,Tuscan,1.458,7,15,0.209
Darginian,BedouinA,0.954,8,23,0.115
Tunisian,Roman-Iberia,1.014,8,28,0.129
Iranian-South,Hungary-AJ,1.586,8,26,0.15
Ukranian-East,French-North,4.158,8,9,0.36
Uzbek-West,Belarus-AJ,1.418,8,14,0.183
Ukranian-West,Slovakian,11.152,8,15,0.627
Jew-French,Jew-Iranian,1.946,7,9,0.279
Spanish-South,Turk-South,1.441,8,10,0.204
Jew-Iranian,Lithuanian,1.804,9,13,0.223
Jew-Yemenite,Spanish-South,0.833,7,8,0.203
Assyrian-Caucasus,Tabasaran,1.593,7,12,0.228
Cypriot,Yemenite-Desert,1.031,7,27,0.141
Jew-Libyan,Finn,1.595,8,11,0.209
Ukranian-East,Palestinian,1.398,8,33,0.127
Turk-West,Lithuanian,3.103,8,13,0.321
general-AJ,Spanish-Valencia,3.024,7,11,0.396
Jew-Yemenite,Yemenite-Northwest,3.684,7,26,0.247
Cypriot,Bulgarian,2.124,7,9,0.308
Russian-Southwest,Ukranian-Central,14.123,8,12,0.675
Jew-Georgian,Egyptian,0.75,7,18,0.111
Iranian-South,Jew-Iranian,1.8,8,9,0.239
Latvia-AJ,Poland-AJ,80.146,7,57,2.039
Jew-Ethiopian,Belarusian,0.365,7,14,0.102
Spanish-South,Spanish-Catalonia,5.028,8,57,0.173
Turkmen,Pole,2.64,8,19,0.231
Jew-Moroccan,Norwegian,2.56,6,12,0.321
Latvia-AJ,Romanian,2.184,7,10,0.281
Jew-Kurdish,Chuvash,0.986,8,18,0.138
Tunisian,Turk-Northeast,0.827,8,9,0.188
Hemshin,Spanish-Valencia,1.402,8,11,0.194
Syrian,Belarusian,1.273,8,14,0.186
Maltese,Uyghur-North,0.506,8,11,0.115
Jew-Turkish,Armenian,1.782,8,18,0.187
Lak,Ukranian-Central,2.507,9,12,0.265
Jew-Tunisian,Slovenian,1.449,7,15,0.195
Iranian-South,Georgian,1.099,8,26,0.123
Tunisian,Yemenite-Highlands,1.517,8,29,0.143
Jew-French,Hungary-AJ,113.212,7,26,3.138
Ukranian-East,Ingush,2.578,8,9,0.292
Darginian,Nogai,1.737,8,25,0.161
Uzbek-West,Sindhi,1.345,8,14,0.184
Ukranian-West,Corsican,3.628,8,16,0.265
Jew-French,Lak,2.487,7,9,0.373
Jew-Yemenite,Darginian,0.669,7,8,0.153
Spanish-South,Karakalpak,0.843,8,10,0.153
Jew-Iranian,Balkar,1.523,9,13,0.189
Cypriot,Lithuania-AJ,2.166,7,27,0.184
Assyrian-Caucasus,Veps,1.658,7,12,0.229
Jew-Libyan,Jew-Italian,5.484,8,11,0.569
Turk-West,Balkar,1.82,8,13,0.23
Jew-Yemenite,Jew-Bulgarian,1.551,7,26,0.156
general-AJ,Moldavian,2.878,7,11,0.348
Ukranian-East,Mordvin,12.323,8,34,0.354
Cypriot,Albanian,2.341,7,9,0.302
Russian-Southwest,Tabasaran,2.629,8,12,0.267
Jew-Ethiopian,Basque-France,0.227,7,14,0.074
Jew-Georgian,Komi,1.135,7,18,0.154
Iranian-South,Lak,1.204,8,9,0.205
Latvia-AJ,Russian-Central,2.907,7,58,0.154
Spanish-South,Poland-AJ,3.362,8,57,0.16
Turkmen,Sardinian,0.705,8,20,0.108
Latvia-AJ,Saudi,2.315,7,10,0.286
Jew-Kurdish,Ossetian,1.255,8,18,0.159
Tunisian,Russian-Northwest,1.519,8,9,0.239
Syrian,Basque-France,1.11,8,14,0.176
Hemshin,Moldavian,2.05,8,11,0.259
Jew-Moroccan,Abkhasian,1.864,6,12,0.274
Maltese,Spanish-Valencia,2.094,8,11,0.262
Iranian-South,Germany-AJ,1.511,8,26,0.148
Jew-Turkish,Pole,2.289,8,19,0.208
Jew-Tunisian,Slovakian,1.789,7,15,0.194
Lak,Tabasaran,13.763,9,12,0.718
Ukranian-East,Chechen,3.001,8,9,0.304
Jew-French,Georgian,1.621,7,26,0.164
Tunisian,Spanish-Balearic,1.677,8,29,0.149
Uzbek-West,Italian-South,1.166,8,15,0.179
Jew-French,Punjabi,0.643,7,9,0.181
Darginian,Kyrgyz-North,0.836,8,25,0.113
Ukranian-West,Greek-South,4.101,8,16,0.329
Jew-Yemenite,Jew-Kurdish,1.518,7,8,0.246
Jew-Iranian,Kabardian,1.275,9,13,0.172
Spanish-South,Turk-Central,1.25,8,10,0.215
Cypriot,Roman-Iberia,1.971,7,28,0.191
Assyrian-Caucasus,Norwegian,1.403,7,12,0.218
Jew-Libyan,Italian-Northwest,1.634,8,11,0.236
Turk-West,Kabardian,2.029,8,13,0.268
Jew-Yemenite,Hungary-AJ,1.538,7,26,0.159
Jew-Ethiopian,Croat,0.241,7,14,0.09
general-AJ,Jew-Azeri,2.098,7,11,0.379
Cypriot,Turk-Northeast,1.587,7,9,0.324
Ukranian-East,Ukraine-AJ,4.839,8,38,0.255
Jew-Georgian,Azeri,1.616,7,18,0.192
Russian-Southwest,Veps,12.718,8,12,0.665
Iranian-South,Punjabi,1.6,8,9,0.227
Turkmen,Baloch,1.567,8,20,0.196
Spanish-South,Russian-Central,3.155,8,58,0.139
Syrian,Croat,1.254,8,14,0.179
Latvia-AJ,Portuguese,2.238,7,10,0.303
Jew-Kurdish,Turk-Northwest,1.244,8,18,0.16
Hemshin,Jew-Azeri,1.137,8,11,0.176
Tunisian,Latvian,1.203,8,9,0.207
Jew-Moroccan,Icelandic,3.074,6,12,0.305
Maltese,Moldavian,1.48,8,11,0.23
Jew-Tunisian,Corsican,1.776,7,16,0.203
Iranian-South,Tatar-Volga,1.503,8,26,0.131
Jew-Turkish,Sardinian,1.786,8,20,0.185
Tunisian,Druze,1.184,8,30,0.121
Uzbek-West,Tuscan,1.138,8,15,0.174
Ukranian-East,Kurd,1.894,8,10,0.269
Darginian,Yemenite-Northwest,0.922,8,26,0.116
Lak,Veps,2.368,9,12,0.28
Jew-French,Lebanese-Christian,1.543,7,9,0.252
Jew-Yemenite,Jew-Iranian,1.79,7,9,0.319
Ukranian-West,Estonian,14.306,8,16,0.552
Jew-Iranian,Belarusian,1.572,9,14,0.183
Spanish-South,Moroccan,2.205,8,10,0.267
Cypriot,Yemenite-Highlands,1.278,7,29,0.141
Assyrian-Caucasus,Abkhasian,1.396,7,12,0.182
Jew-Libyan,Ukranian-Central,1.506,8,12,0.222
Jew-Yemenite,Georgian,1.064,7,26,0.136
Jew-Ethiopian,Sicilian-West,0.366,7,14,0.099
Turk-West,Belarusian,2.619,8,14,0.287
general-AJ,Karachay,1.699,7,11,0.262
Cypriot,Russian-Northwest,1.57,7,9,0.258
Ukranian-East,Russia-AJ,3.96,8,39,0.217
Jew-Georgian,Armenian,1.402,7,18,0.165
Russian-Southwest,Norwegian,6.079,8,12,0.441
Iranian-South,Lebanese-Christian,1.433,8,9,0.235
Jew-French,Germany-AJ,153.395,7,26,2.652
Turkmen,Swede,1.713,8,20,0.158
Syrian,Sicilian-West,0.899,8,14,0.165
Tunisian,Gagauz,1.259,8,9,0.202
Jew-Kurdish,Egyptian,1.212,8,18,0.153
Hemshin,Karachay,2.349,8,11,0.254
Latvia-AJ,Spanish-North,1.78,7,10,0.27
Maltese,Jew-Azeri,1.418,8,11,0.198
Iranian-South,Yemenite-Desert,1.165,8,27,0.131
Spanish-South,mixed-AJ,3.213,8,204,0.08
Jew-Tunisian,Greek-South,0.979,7,16,0.202
Jew-Moroccan,Italian-North,3.029,6,12,0.352
Tunisian,Adygei,0.722,8,31,0.088
Jew-Turkish,Baloch,1.47,8,20,0.153
Ukranian-East,Avar,2.389,8,10,0.296
Uzbek-West,Slovenian,2.479,8,15,0.246
Jew-French,Bulgarian,2.39,7,9,0.335
Darginian,Jew-Bulgarian,1.696,8,26,0.154
Lak,Norwegian,2.411,9,12,0.271
Jew-Yemenite,Lak,0.606,7,9,0.182
Jew-Iranian,Basque-France,1.204,9,14,0.178
Ukranian-West,Russian-Arctic,10.505,8,17,0.488
Cypriot,Spanish-Balearic,2.273,7,29,0.186
Spanish-South,Romanian,2.643,8,10,0.26
Jew-Yemenite,Germany-AJ,1.454,7,26,0.143
Jew-Ethiopian,Udmurt,0.253,7,14,0.097
Assyrian-Caucasus,Icelandic,1.584,7,12,0.231
Turk-West,Basque-France,2.021,8,14,0.231
Jew-Libyan,Tabasaran,1.377,8,12,0.203
Cypriot,Latvian,2.199,7,9,0.295
general-AJ,Jordanian,1.602,7,11,0.227
Jew-Georgian,Pole,1.272,7,19,0.172
Jew-French,Tatar-Volga,2.23,7,26,0.194
Ukranian-East,Bashkir,5.473,8,56,0.199
Russian-Southwest,Abkhasian,1.855,8,12,0.255
Iranian-South,Bulgarian,1.857,8,9,0.295
Syrian,Udmurt,1.033,8,14,0.16
Turkmen,Brahui,2.328,8,21,0.267
Jew-Kurdish,Komi,1.478,8,18,0.163
Latvia-AJ,French-Northeast,1.77,7,10,0.253
Tunisian,Bengali,0.269,8,9,0.099
Hemshin,Jordanian,1.464,8,11,0.189
Iranian-South,Lithuania-AJ,1.744,8,27,0.158
Maltese,Karachay,1.147,8,11,0.187
Jew-Tunisian,Estonian,1.46,7,16,0.194
Darginian,Jew-Kurdish,1.055,8,8,0.233
Tunisian,Tajik,0.529,8,32,0.077
Ukranian-East,Turk-South,2.122,8,10,0.269
Jew-French,Albanian,2.454,7,9,0.284
Darginian,Hungary-AJ,1.534,8,26,0.149
Jew-Moroccan,Circassian,1.208,6,12,0.201
Uzbek-West,Slovakian,2.161,8,15,0.245
Jew-Turkish,Swede,2.117,8,20,0.192
Jew-Yemenite,Punjabi,0.532,7,9,0.149
Jew-Iranian,Croat,1.356,9,14,0.172
Lak,Abkhasian,2.479,9,12,0.267
Cypriot,Druze,1.561,7,30,0.168
Ukranian-West,Karelian,10.995,8,17,0.494
Spanish-South,Saudi,1.094,8,10,0.177
Jew-Ethiopian,Belarus-AJ,0.409,7,14,0.141
Jew-Yemenite,Tatar-Volga,0.8,7,26,0.11
Assyrian-Caucasus,Italian-North,1.686,7,12,0.26
Turk-West,Croat,2.68,8,14,0.255
Jew-Libyan,Veps,1.782,8,12,0.223
Cypriot,Gagauz,2.269,7,9,0.36
general-AJ,Finn,3.877,7,11,0.356
Latvia-AJ,mixed-AJ,80.893,7,204,1.029
Jew-French,Yemenite-Desert,1.406,7,27,0.143
Jew-Georgian,Sardinian,1.132,7,20,0.154
Iranian-South,Albanian,1.738,8,9,0.238
Russian-Southwest,Icelandic,6.01,8,12,0.43
Ukranian-East,Spanish-Catalonia,3.873,8,57,0.152
Syrian,Belarus-AJ,1.55,8,14,0.202
Tunisian,French-North,1.129,8,9,0.213
Turkmen,Uzbek-East,2.569,8,21,0.248
Hemshin,Finn,2.464,8,11,0.286
Latvia-AJ,French-Northwest,2.525,7,10,0.355
Jew-Kurdish,Azeri,1.24,8,18,0.135
Iranian-South,Roman-Iberia,1.361,8,28,0.129
Darginian,Jew-Iranian,1.676,8,9,0.263
Maltese,Jordanian,1.368,8,11,0.2
Jew-Tunisian,Russian-Arctic,1.274,7,17,0.172
Ukranian-East,Karakalpak,2.417,8,10,0.27
Tunisian,Palestinian,1.604,8,33,0.137
Darginian,Georgian,1.893,8,26,0.163
Jew-French,Turk-Northeast,1.701,7,9,0.293
Uzbek-West,Corsican,1.155,8,16,0.18
Jew-Yemenite,Lebanese-Christian,1.371,7,9,0.257
Jew-Turkish,Brahui,1.244,8,21,0.148
Jew-Moroccan,Iranian-North,1.125,6,12,0.184
Jew-Iranian,Sicilian-West,1.668,9,14,0.177
Ukranian-West,Gujarati,0.812,8,17,0.12
Cypriot,Adygei,1.483,7,31,0.149
Spanish-South,Portuguese,4.036,8,10,0.384
Lak,Icelandic,2.39,9,12,0.262
Jew-Ethiopian,Sindhi,0.063,7,14,0.044
Jew-Yemenite,Yemenite-Desert,2.619,7,27,0.194
Turk-West,Sicilian-West,1.518,8,14,0.186
Assyrian-Caucasus,Circassian,1.193,7,12,0.215
Cypriot,Bengali,0.725,7,9,0.183
Jew-Georgian,Assyrian-Caucasus,1.226,7,7,0.246
Jew-Libyan,Norwegian,1.39,8,12,0.222
Syrian,Sindhi,0.788,8,14,0.169
general-AJ,Jew-Italian,41.585,7,11,3.351
Jew-Georgian,Baloch,0.606,7,20,0.113
Iranian-South,Turk-Northeast,1.564,8,9,0.283
Russian-Southwest,Italian-North,3.464,8,12,0.292
Tunisian,Ingush,0.473,8,9,0.131
Ukranian-East,Poland-AJ,4.19,8,57,0.17
Hemshin,Jew-Italian,1.696,8,11,0.24
Jew-Kurdish,Armenian,1.644,8,18,0.183
Latvia-AJ,Czech,3.279,7,10,0.372
Turkmen,Tatar-Siberia,3.423,8,21,0.24
